,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-03-31,13.125,49.375,8.439185,2.0935364,682.4059,0.36035702,0.29,0.6260866595238588,1.1360672464595511,1.1128207158461252,0.6378875797492193,1.079459757799757,0.6260866595238588
1982-04-01,13.125,49.375,19.012062,-0.13296509,1104.9095,0.35202754,0.29333332,0.8124531549292167,1.9520738945920628,0.6410034494910783,1.097761322698577,1.3848633952140463,0.8124531549292167
1982-04-02,13.125,49.375,18.267065,1.6499023,1303.6587,0.34482315,0.29666665,0.8417261572577839,1.6057347524948182,0.691183414460219,1.3435373619437891,1.4186396705827633,0.8417261572577839
1982-04-03,13.125,49.375,10.564128,3.7809448,860.4063,0.3443587,0.29999998,0.8616545745466965,1.318724478951173,1.2234628942588015,0.9793755109646469,1.4360910533172309,0.8616545745466965
1982-04-04,13.125,49.375,16.727985,1.7071228,1101.2157,0.34131578,0.30333334,0.939911690897824,1.7811477940076252,0.8428197038356596,1.2663860022875557,1.5493049509457546,0.939911690897824
1982-04-05,13.125,49.375,20.517979,0.46566772,1410.5272,0.33477727,0.30666667,0.7613612613964992,1.6825663235281751,0.5566054493450593,1.3465887184232388,1.2413498692187503,0.7613612613964992
1982-04-06,13.125,49.375,18.181713,1.5647888,1653.8309,0.32585937,0.31,0.5900379516194307,1.1366556571362563,0.48678412613220007,1.3837663030474454,0.9516741155152109,0.5900379516194307
1982-04-07,13.125,49.375,9.113754,8.096893,672.82166,0.35262063,0.31333333,1.219712213607477,1.333018812685767,2.007480474468825,1.235777318751243,1.9463492977390513,1.219712213607477
1982-04-08,13.125,49.375,6.7654376,0.040374756,887.777,0.38485247,0.31666666,0.3735941885803246,0.8755429776900038,0.8283149088101661,0.43235064064381973,0.5898855733349457,0.3735941885803246
1982-04-09,13.125,49.375,16.84995,-1.2230225,641.81464,0.38400346,0.32,0.8928036053632802,2.5501388328000005,0.7947830160000001,0.8928036053632802,1.3950056333801253,0.8928036053632802
1982-04-10,13.125,49.375,13.960404,0.5159607,638.82104,0.37372494,0.32333332,0.9724159176266239,2.1348318718476924,1.044829273164255,0.9724159176266239,1.50373601710245,0.9724159176266239
1982-04-11,13.125,49.375,16.702515,-0.21447754,613.98096,0.37707686,0.32666665,1.0610968005959014,2.5804883282974256,0.9529374473807402,1.0610968005959014,1.6241278388778,1.0610968005959014
1982-04-12,13.125,49.375,17.679537,-1.6376648,607.8713,0.37259945,0.33,0.8967748458400876,2.7593072179695,0.7608583125000001,0.8967748458400876,1.358749766424375,0.8967748458400876
1982-04-13,13.125,49.375,18.694208,-2.7149963,637.8494,0.36575058,0.33333334,0.765372764452095,2.947141950142838,0.6141255872825114,0.765372764452095,1.1480591237169602,0.765372764452095
1982-04-14,13.125,49.375,16.587433,-3.0222168,703.03784,0.35994574,0.33666667,0.6174888796911293,2.5611318112448336,0.5583946108699845,0.6367834172332983,0.9170626835307596,0.6174888796911293
1982-04-15,13.125,49.375,21.431498,-1.8326416,922.62695,0.35084608,0.34,0.9112001364103284,2.909323551757115,0.6377529954348,1.079365240950401,1.3400002006034242,0.9112001364103284
1982-04-16,13.125,49.375,22.924368,-0.1308899,1119.3909,0.3431452,0.34333333,1.1340374142975218,2.7240869908660144,0.7420296696712784,1.5496548432598003,1.6515108135547483,1.1340374142975218
1982-04-17,13.125,49.375,16.838371,1.211731,1052.2894,0.33980462,0.34666666,1.0581375934977915,2.1260550401804132,0.9426127920846307,1.3740262219163635,1.526160019971046,1.0581375934977915
1982-04-18,13.125,49.375,18.187422,-0.6524048,853.45154,0.33778945,0.35,1.023484946104058,2.660475555248396,0.844114915877625,1.1581814485731106,1.4621213515772258,1.023484946104058
1982-04-19,13.125,49.375,17.981302,-0.6135254,862.86084,0.3340599,0.35333332,1.0217307345992608,2.6394490689725156,0.8523276578630908,1.1631725120665537,1.4458454337101023,1.0217307345992608
1982-04-20,13.125,49.375,19.13867,1.79422,941.9676,0.32753435,0.35666665,1.4337253261029343,2.6899161840580383,1.1236872724982463,1.7207457106372233,2.0098954108870766,1.4337253261029343
1982-04-21,13.125,49.375,17.83071,0.58551025,970.8765,0.3241909,0.35999998,1.1396466610689338,2.4791095520316158,0.9587223344462452,1.3955996339320766,1.5828426727536677,1.1396466610689338
1982-04-22,13.125,49.375,21.268122,0.9031677,973.8224,0.3215368,0.3633333,1.426732972843069,2.978565705309122,1.0062475000212072,1.7505926047154226,1.9633941794532308,1.426732972843069
1982-04-23,13.125,49.375,18.330814,-1.2782593,942.6432,0.31362888,0.36666667,0.9180962641846291,2.647336401916462,0.7512729092537537,1.1024210665041176,1.2519494397794992,0.9180962641846291
1982-04-24,13.125,49.375,18.612917,1.7277222,1050.6675,0.31262648,0.37,1.3284384727844503,2.5112258464734407,1.0705778729775,1.7230070982937098,1.795187125384392,1.3284384727844503
1982-04-25,13.125,49.375,17.566305,2.3842773,1083.0482,0.31144837,0.37333333,1.32733988747855,2.333989603443907,1.1334255161901292,1.76390682721402,1.7776873651738379,1.32733988747855
