,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR
1982-07-29,13.125,49.375,20.574104,13.7778015,2269.6536,0.3553358,0.51625
1982-07-30,13.125,49.375,24.118692,10.984833,2509.5469,0.3317339,0.513125
1982-07-31,13.125,49.375,22.691217,15.26001,2506.9817,0.3127929,0.51
1982-08-01,13.125,49.375,18.858957,14.7771,2418.2644,0.31475917,0.5046667
1982-08-02,13.125,49.375,23.232143,13.383362,2468.446,0.2939028,0.49933332
1982-08-03,13.125,49.375,20.029293,15.660858,2532.5476,0.28475723,0.494
1982-08-04,13.125,49.375,13.568185,15.819885,1620.5557,0.3217813,0.48866665
1982-08-05,13.125,49.375,16.857248,14.69397,2008.2051,0.31338516,0.48333332
1982-08-06,13.125,49.375,11.960291,14.648712,1387.6008,0.34579346,0.478
1982-08-07,13.125,49.375,10.075073,14.675873,1241.1277,0.37728485,0.47266665
1982-08-08,13.125,49.375,13.475863,14.202026,1348.6741,0.3728546,0.46733332
1982-08-09,13.125,49.375,7.824643,15.139709,1379.6953,0.36455408,0.46199998
1982-08-10,13.125,49.375,15.597708,14.254608,1836.6014,0.34742102,0.45666665
1982-08-11,13.125,49.375,18.714964,12.958893,2244.6045,0.32874236,0.4513333
1982-08-12,13.125,49.375,21.980175,11.222626,2792.4927,0.30857307,0.44599998
1982-08-13,13.125,49.375,18.447645,16.706879,2478.505,0.31349722,0.44066665
1982-08-14,13.125,49.375,15.495515,11.928467,1799.782,0.3497761,0.4353333
1982-08-15,13.125,49.375,20.146189,10.76355,2553.4976,0.32614502,0.42999998
1982-08-16,13.125,49.375,17.22899,15.500336,2229.4988,0.33775863,0.42999998
1982-08-17,13.125,49.375,9.604091,14.03772,1271.3196,0.34779724,0.42999998
1982-08-18,13.125,49.375,16.912,13.662598,2212.9922,0.33171505,0.42999998
1982-08-19,13.125,49.375,14.513535,12.984314,1872.6046,0.3367444,0.42999998
1982-08-20,13.125,49.375,6.9810424,9.287018,753.49963,0.36818254,0.42999998
1982-08-21,13.125,49.375,13.493256,9.055969,1474.7489,0.3636388,0.42999998
1982-08-22,13.125,49.375,16.126717,8.383606,1601.6791,0.34001252,0.42999998
1982-08-23,13.125,49.375,17.45301,6.6064453,1910.3536,0.32468772,0.42999998
1982-08-24,13.125,49.375,17.323298,11.262634,1677.549,0.328466,0.42999998
1982-08-25,13.125,49.375,7.1941843,10.99942,1351.6599,0.3354328,0.42999998
1982-08-26,13.125,49.375,19.133986,10.974457,2123.4055,0.32180333,0.42999998
1982-08-27,13.125,49.375,10.174637,12.917908,1353.5709,0.337642,0.42999998
1982-08-28,13.125,49.375,7.639475,11.861511,1028.9216,0.38193703,0.42999998
1982-08-29,13.125,49.375,15.272581,10.496094,1774.9338,0.35180056,0.42999998
1982-08-30,13.125,49.375,17.983164,7.9765015,1914.1106,0.33084378,0.42999998
1982-08-31,13.125,49.375,11.8014965,10.142059,1699.7498,0.33896154,0.42999998
1982-09-01,13.125,49.375,7.352849,10.993927,1124.3496,0.38093576,0.4353333
1982-09-02,13.125,49.375,8.924671,9.670258,1470.0754,0.35547647,0.44066665
1982-09-03,13.125,49.375,18.921324,7.225952,1548.98,0.33896324,0.44599998
1982-09-04,13.125,49.375,18.727673,6.0588684,2043.8019,0.32365268,0.4513333
1982-09-05,13.125,49.375,17.717789,10.183228,2461.3286,0.30907363,0.45666665
1982-09-06,13.125,49.375,14.353256,15.2022705,2103.6077,0.29885197,0.46199998
1982-09-07,13.125,49.375,8.747737,12.491364,1127.1116,0.30957076,0.46733332
1982-09-08,13.125,49.375,14.735578,10.797638,1895.3705,0.30934733,0.47266665
1982-09-09,13.125,49.375,11.413086,11.697052,1869.7622,0.2972054,0.478
