,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-05-10,11.625,50.875,15.722742,7.1632996,1035.9111,0.38812473,0.46333334,2.3053820006057393,2.6856733464652134,2.199408348053163,2.957513791668684,2.4878222670159453,2.3053820006057393
1982-05-11,11.625,50.875,6.422067,4.3450623,626.58453,0.41328156,0.47266665,0.9871448651514929,1.435638256473957,2.3056708964998953,0.9871448651514929,1.0442294428340702,0.9871448651514929
1982-05-12,11.625,50.875,18.160084,2.0657349,1343.72,0.39144892,0.482,1.3728339391897375,2.4987876577898387,1.13394349320444,2.2744101046881005,1.4241015966698523,1.3728339391897375
1982-05-13,11.625,50.875,25.875626,5.104828,1527.4467,0.37393993,0.49133334,2.199347868342872,2.998020540271091,1.2749534262530724,4.411046667354337,2.238142305123109,2.199347868342872
1982-05-14,11.625,50.875,25.638834,6.956421,1686.8774,0.36032313,0.5006667,2.0924616207667497,2.4739437464728655,1.2241946849650513,5.134875142985888,2.089675247791345,2.0924616207667497
1982-05-15,11.625,50.875,25.476145,8.31189,2018.864,0.34832928,0.51,1.242009648324497,1.3383724658669145,0.731278014192,5.702523637853521,1.217656517965193,1.242009648324497
1982-05-16,11.625,50.875,25.24763,10.39444,2456.9456,0.3364752,0.515,0.0,0.0,0.0,6.149546303377501,0.0,0.0
1982-05-17,11.625,50.875,19.11678,12.616211,2071.78,0.35046887,0.52,0.8819950539647522,0.8819950539647522,0.692058276,4.701466172520001,0.8480721672738,0.8819950539647522
1982-05-18,11.625,50.875,22.76685,12.791443,1924.5876,0.3637787,0.525,1.535914773712069,1.535914773712069,1.0119415556250002,5.652980396437501,1.4627759749638751,1.535914773712069
1982-05-19,11.625,50.875,17.33758,10.923431,1564.9463,0.35512963,0.53,2.073862756722276,2.073862756722276,1.7942493330000002,4.34589848433,1.9564742987945998,2.073862756722276
1982-05-20,11.625,50.875,23.287586,9.075775,1807.2415,0.33810437,0.53499997,1.9444704984301133,1.9957615707996645,1.2524723462728897,5.7409816900800505,1.8172622499680826,1.9444704984301133
1982-05-21,11.625,50.875,17.42542,12.47406,1410.1063,0.33008888,0.53999996,2.51755165860162,2.51755165860162,2.1671371409713105,4.450329960405904,2.3310665232286496,2.51755165860162
1982-05-22,11.625,50.875,12.074706,12.478119,1579.6056,0.3281435,0.54499996,1.459069127773389,1.459069127773389,1.8125523649686242,3.1123488220422115,1.3385956283128801,1.459069127773389
1982-05-23,11.625,50.875,19.440784,10.283264,1429.2329,0.32914823,0.54999995,2.80510951089141,2.80510951089141,2.164349064490976,5.056984876314062,2.5500997871830804,2.80510951089141
1982-05-24,11.625,50.875,16.195997,9.157623,1143.3701,0.34273478,0.555,2.989318790825907,3.052817392591817,2.7685718799768,4.162816865096654,2.693079991735051,2.989318790825907
1982-05-25,11.625,50.875,17.368855,8.464874,1675.6212,0.33032694,0.56,1.7846312349020013,1.9040128399679943,1.5412339226466003,4.31174495023436,1.5934207454482152,1.7846312349020013
1982-05-26,11.625,50.875,26.8377,7.743622,2214.4626,0.3116015,0.565,0.6792943414308663,0.7601771949763501,0.37966797160199994,6.40843718331006,0.6011454348945721,0.6792943414308663
1982-05-27,11.625,50.875,26.694025,11.081909,2642.126,0.29488948,0.57,0.0,0.0,0.0,7.1962153005375,0.0,0.0
1982-05-28,11.625,50.875,8.913001,9.373383,1090.2109,0.29251856,0.575,1.8002873330809486,1.814257112849893,3.029766292656562,2.4051934977701386,1.5654672461573464,1.8002873330809486
1982-05-29,11.625,50.875,16.808804,7.5753174,1445.8201,0.29117772,0.58,2.220717313801865,2.5138298775207892,1.9817447872571996,4.073215909394469,1.9144114774154006,2.220717313801865
1982-05-30,11.625,50.875,26.904161,5.775696,1820.9951,0.27760077,0.585,1.9072014819982763,2.4631299005531138,1.0633307699122878,5.763679304920749,1.6300867367506635,1.9072014819982763
1982-05-31,11.625,50.875,27.134266,8.900879,2496.5872,0.26141575,0.59,0.0,0.0,0.0,7.29671155456364,0.0,0.0
1982-06-01,11.625,50.875,25.530924,13.613159,3038.8525,0.24527034,0.59,0.0,0.0,0.0,7.037247024481251,0.0,0.0
1982-06-02,11.625,50.875,27.199823,15.937592,3155.257,0.23167603,0.59,0.0,0.0,0.0,7.2202264072127065,0.0,0.0
1982-06-03,11.625,50.875,26.6249,14.301636,3356.8982,0.21499766,0.59,0.0,0.0,0.0,6.710257028912041,0.0,0.0
1982-06-04,11.625,50.875,26.107538,16.386688,3404.5798,0.19807805,0.59,0.0,0.0,0.0,6.190844376604192,0.0,0.0
1982-06-05,11.625,50.875,24.459204,15.734955,3486.7534,0.18288814,0.59,0.0,0.0,0.0,5.438246463765561,0.0,0.0
1982-06-06,11.625,50.875,22.41398,17.074219,2597.2207,0.17796585,0.59,0.0,0.0,0.0,4.867805891311677,0.0,0.0
1982-06-07,11.625,50.875,22.371119,14.533081,2119.113,0.18348855,0.59,0.8005284399602972,0.8005284399602972,0.5367602129962501,4.9877161368242815,0.6784139321697434,1.00191294112678
1982-06-08,11.625,50.875,20.475029,13.622253,2162.4058,0.18749444,0.59,0.63117399065483,0.63117399065483,0.4623978730297501,4.647820255190206,0.5348932124193475,0.7758746043697973
1982-06-09,11.625,50.875,22.436111,12.531555,1847.4807,0.190429,0.59,1.628212898779126,1.628212898779126,1.08856626184845,5.157468795625993,1.3798414396433274,1.9764662524631296
1982-06-10,11.625,50.875,19.644135,10.581451,1926.9908,0.1852126,0.59,1.1931743160935646,1.1931743160935646,0.911092025248425,4.414259401012078,1.0111646746555634,1.4816519509419652
1982-06-11,11.625,50.875,13.136615,11.50589,1497.9523,0.21064234,0.59,1.6817807988578712,1.6817807988578712,1.9203357929625,3.262426379937675,1.4252379651337892,1.889641347031316
1982-06-12,11.625,50.875,15.480962,11.285034,1522.3,0.2738679,0.59,2.166387411545941,2.166387411545941,2.0990821612499997,4.319815376961,1.835921535208425,2.166387411545941
1982-06-13,11.625,50.875,18.863995,9.184235,1247.7667,0.27702856,0.59,3.399503329196563,3.4656981641314744,2.7031681220202,5.163279661598668,2.88093502474285,3.399503329196563
1982-06-14,11.625,50.875,20.216301,8.811371,1189.4825,0.2812462,0.59,3.7392818406012,3.9019950334980695,2.774455505436825,5.405930086166258,3.168882915763729,3.7392818406012
