,longitude,latitude,ssrd,t2mmin,e,tp,vpd,sSWC,FPAR
1982-06-06,11.625,50.875,22.41398,17.074219,-3.0182717,1.543709,2597.2207,0.17796585,0.59
1982-06-07,11.625,50.875,22.371119,14.533081,-2.6866772,0.8354455,2119.113,0.18348855,0.59
1982-06-08,11.625,50.875,20.475029,13.622253,-2.5331235,1.4022601,2162.4058,0.18749444,0.59
1982-06-09,11.625,50.875,22.436111,12.531555,-2.7237568,0.20908666,1847.4807,0.190429,0.59
1982-06-10,11.625,50.875,19.644135,10.581451,-2.167791,0.0046332125,1926.9908,0.1852126,0.59
1982-06-11,11.625,50.875,13.136615,11.50589,-1.9601147,8.325687,1497.9523,0.21064234,0.59
1982-06-12,11.625,50.875,15.480962,11.285034,-2.570613,1.2214284,1522.3,0.2738679,0.59
1982-06-13,11.625,50.875,18.863995,9.184235,-2.7637396,3.1897104,1247.7667,0.27702856,0.59
1982-06-14,11.625,50.875,20.216301,8.811371,-2.5011714,1.5600137,1189.4825,0.2812462,0.59
1982-06-15,11.625,50.875,17.220896,7.829712,-2.3823328,0.89465225,1254.6067,0.27270037,0.59
1982-06-16,11.625,50.875,9.580663,7.045929,-1.7027127,11.119691,818.22784,0.3104734,0.58666664
1982-06-17,11.625,50.875,15.542868,6.8182983,-2.2295892,0.35944486,1244.154,0.33055717,0.5833333
1982-06-18,11.625,50.875,22.27059,6.5941772,-2.8952959,4.8303976,1615.6033,0.3092556,0.58
1982-06-19,11.625,50.875,21.425442,11.1875305,-3.4696205,5.449642,1493.9468,0.34690458,0.57666665
1982-06-20,11.625,50.875,17.682024,10.187561,-2.715355,1.7451495,1530.6439,0.33259913,0.5733333
1982-06-21,11.625,50.875,14.590056,8.396118,-1.8622192,0.27214286,1576.2783,0.31250286,0.57
1982-06-22,11.625,50.875,18.649883,11.086609,-2.6346471,2.0490167,1859.9398,0.29852664,0.56666666
1982-06-23,11.625,50.875,16.9511,14.145172,-3.0549529,1.6215222,1871.4193,0.31371596,0.5633333
1982-06-24,11.625,50.875,19.145096,12.492889,-3.024174,1.8892994,1716.4259,0.3096752,0.55999994
1982-06-25,11.625,50.875,22.508354,10.402588,-3.1626205,0.21646202,2077.196,0.305485,0.5566666
1982-06-26,11.625,50.875,13.936934,15.463348,-2.3180003,3.6977816,1718.9138,0.32324442,0.5533333
1982-06-27,11.625,50.875,13.680953,13.132294,-2.497722,6.985298,1551.0928,0.3392325,0.54999995
1982-06-28,11.625,50.875,19.228193,12.377747,-3.3078864,4.5496483,1578.0507,0.3299845,0.5466666
1982-06-29,11.625,50.875,21.363152,11.370758,-3.4981003,3.5773973,1540.3124,0.3258784,0.5433333
1982-06-30,11.625,50.875,19.583092,10.728851,-3.0233324,1.5205067,1487.9927,0.31391427,0.53999996
1982-07-01,11.625,50.875,19.26445,10.2734375,-2.7615325,0.62676704,1704.5868,0.30089074,0.5393333
1982-07-02,11.625,50.875,18.431795,14.077484,-2.692338,0.30595148,2300.6711,0.28633258,0.5386666
1982-07-03,11.625,50.875,17.297499,17.262543,-3.0689623,2.095163,2682.3264,0.2764981,0.538
1982-07-04,11.625,50.875,18.321976,12.053284,-3.4703794,8.436913,1520.1797,0.3338725,0.5373333
1982-07-05,11.625,50.875,17.99115,10.283539,-2.7876158,0.5183896,1801.0862,0.31458852,0.53666663
1982-07-06,11.625,50.875,15.41044,11.804626,-2.250897,0.9474683,1823.7555,0.29894337,0.53599995
1982-07-07,11.625,50.875,17.49951,12.666016,-2.6225994,1.7009814,1680.6125,0.29945597,0.5353333
1982-07-08,11.625,50.875,24.626673,10.077087,-3.1176803,0.0031104342,2234.631,0.28313452,0.53466666
1982-07-09,11.625,50.875,26.862644,13.465454,-3.5186112,-8.326673e-14,2593.0225,0.26127708,0.534
1982-07-10,11.625,50.875,26.583794,13.79599,-3.583543,-8.326673e-14,2972.1702,0.2402253,0.5333333
1982-07-11,11.625,50.875,26.549387,14.277344,-3.2627256,-8.326673e-14,2868.8228,0.22074889,0.5326666
1982-07-12,11.625,50.875,22.19728,15.020508,-2.4787145,0.07020704,2646.9128,0.20555535,0.53199995
1982-07-13,11.625,50.875,22.05292,16.833923,-2.6652155,0.3660177,2766.8584,0.19506496,0.5313333
1982-07-14,11.625,50.875,21.67158,15.713257,-2.3145683,0.037727185,3083.4146,0.18229759,0.53066665
1982-07-15,11.625,50.875,22.262953,16.810242,-2.5320022,2.5895233,3452.4517,0.1765284,0.53
1982-07-16,11.625,50.875,22.461866,17.032715,-2.4391754,1.3668311,2961.8953,0.1884714,0.52937496
1982-07-17,11.625,50.875,10.018918,16.901245,-1.1455948,1.0052282,1924.9695,0.1954364,0.52874994
1982-07-18,11.625,50.875,18.477411,14.428741,-1.6499214,0.012884991,2252.281,0.19159168,0.528125
1982-07-19,11.625,50.875,13.446567,12.307312,-1.1866461,0.015388958,2075.7332,0.18856935,0.5275
1982-07-20,11.625,50.875,16.304058,16.687866,-1.5312791,0.17533875,2839.4702,0.18316576,0.52687496
1982-07-21,11.625,50.875,21.209759,16.944977,-1.9018544,0.3310503,2975.46,0.17718852,0.52625
1982-07-22,11.625,50.875,18.361307,15.93396,-1.9197822,2.6905763,2331.4258,0.18916312,0.525625
1982-07-23,11.625,50.875,15.802846,15.274353,-1.3307073,0.0013329521,2497.175,0.1868341,0.525
1982-07-24,11.625,50.875,12.60306,17.46576,-1.2873172,1.1185442,2610.0398,0.18342409,0.52437496
1982-07-25,11.625,50.875,15.858565,15.912567,-1.7042145,3.4322155,2399.124,0.1911496,0.52374995
1982-07-26,11.625,50.875,9.85921,13.945435,-1.4517453,1.2106721,1611.8842,0.21841364,0.523125
1982-07-27,11.625,50.875,11.3214,12.528595,-1.5979506,1.5953293,1464.1774,0.22840384,0.5225
1982-07-28,11.625,50.875,17.888086,11.211426,-1.8451838,0.41598085,2081.3638,0.22454554,0.52187496
1982-07-29,11.625,50.875,22.939405,14.104187,-2.0474353,0.003634976,2704.2937,0.20708132,0.52125
1982-07-30,11.625,50.875,24.787828,13.019562,-1.8523116,-8.326673e-14,2890.7712,0.1877268,0.520625
1982-07-31,11.625,50.875,22.429798,16.635681,-1.549897,0.033522557,3234.3838,0.17192252,0.52
1982-08-01,11.625,50.875,22.97071,15.068726,-1.388411,0.0,3266.255,0.16115531,0.5193333
1982-08-02,11.625,50.875,21.448977,14.8185425,-1.1516372,0.0,3238.6272,0.1554101,0.5186666
1982-08-03,11.625,50.875,22.804995,16.302582,-1.0920017,0.053112015,3178.6533,0.15193948,0.518
1982-08-04,11.625,50.875,14.663734,17.081146,-0.9212904,1.2707748,2635.825,0.1565465,0.5173333
1982-08-05,11.625,50.875,16.773052,14.86972,-1.2431388,6.2728,2408.762,0.18256442,0.51666665
1982-08-06,11.625,50.875,12.92445,16.067535,-1.5381255,5.500148,1786.1422,0.2289504,0.516
1982-08-07,11.625,50.875,10.049161,15.825134,-1.4265888,9.480714,1527.7677,0.28499386,0.5153333
1982-08-08,11.625,50.875,15.560617,14.412231,-1.8798592,4.637165,1806.6753,0.31446007,0.5146667
1982-08-09,11.625,50.875,13.110345,16.511047,-1.9327991,0.77507144,2192.3586,0.30433542,0.514
1982-08-10,11.625,50.875,17.545895,13.847748,-1.9937309,0.7038851,2163.4448,0.27771795,0.5133333
1982-08-11,11.625,50.875,21.909504,11.476227,-1.9808502,0.0,2347.1382,0.2525441,0.51266664
1982-08-12,11.625,50.875,20.392267,11.888763,-1.9334317,0.0032411409,3309.3806,0.22860202,0.51199996
1982-08-13,11.625,50.875,17.355316,16.558502,-1.7295042,0.3753407,2540.0693,0.2134072,0.51133335
1982-08-14,11.625,50.875,15.318918,14.901611,-1.2264023,0.27584592,2152.6382,0.20663844,0.51066667
1982-08-15,11.625,50.875,14.277009,10.416687,-1.152687,2.229133,2655.0486,0.19983374,0.51
1982-08-16,11.625,50.875,17.863966,15.339539,-1.5343812,0.03249766,2511.8176,0.20535263,0.513125
1982-08-17,11.625,50.875,11.601668,14.845886,-0.85407126,0.3573795,2123.8735,0.19921486,0.51625
1982-08-18,11.625,50.875,18.590935,15.033417,-1.2731488,0.114907354,2532.9463,0.19497325,0.51937497
1982-08-19,11.625,50.875,12.066863,13.375946,-1.8208398,4.4572845,1976.4869,0.21928021,0.5225
1982-08-20,11.625,50.875,9.12901,10.19165,-0.8410631,0.10084774,1715.0946,0.22731403,0.525625
1982-08-21,11.625,50.875,12.6418295,9.468689,-0.9579244,0.13215315,1662.3054,0.22188431,0.52875
1982-08-22,11.625,50.875,12.867549,10.91568,-0.93633825,0.0029504122,1922.5284,0.21334784,0.531875
1982-08-23,11.625,50.875,15.124786,10.938049,-1.0571967,0.010638734,2244.7317,0.20354724,0.53499997
1982-08-24,11.625,50.875,13.726199,13.160553,-0.96365356,0.6328896,1852.2722,0.1953304,0.538125
1982-08-25,11.625,50.875,6.8757715,13.516327,-0.9184803,1.0899234,1677.0637,0.19596595,0.54125
1982-08-26,11.625,50.875,17.69837,11.972961,-1.0975031,1.5108192,2331.2007,0.19593966,0.544375
1982-08-27,11.625,50.875,13.465324,13.999603,-1.3058454,1.9400624,1886.8687,0.21653007,0.5475
1982-08-28,11.625,50.875,14.870452,11.5355835,-1.2056378,0.6899281,1982.8864,0.21132235,0.550625
1982-08-29,11.625,50.875,16.38817,9.782135,-1.0727218,0.0046124686,2018.7589,0.203058,0.55375
1982-08-30,11.625,50.875,14.492023,10.789368,-0.94140077,0.037277386,2386.3164,0.19154756,0.556875
1982-08-31,11.625,50.875,10.206376,13.12973,-1.1423312,3.5579565,1831.5975,0.20000027,0.56
1982-09-01,11.625,50.875,8.899222,11.484924,-0.7358004,0.24211891,1603.3584,0.21257262,0.5553333
1982-09-02,11.625,50.875,3.9178371,11.08432,-0.86750144,2.1956208,1326.2524,0.21996292,0.5506667
