,longitude,latitude,ssrd,t2mmin,vpd,FPAR
1982-08-08,11.625,50.875,15.560617,14.412231,1463.6606,0.5146667
1982-08-09,11.625,50.875,13.110345,16.511047,1949.549,0.514
1982-08-10,11.625,50.875,17.545895,13.847748,1920.7922,0.5133333
1982-08-11,11.625,50.875,21.909504,11.476227,1932.7461,0.51266664
1982-08-12,11.625,50.875,20.392267,11.888763,2751.703,0.51199996
1982-08-13,11.625,50.875,17.355316,16.558502,2242.1406,0.51133335
1982-08-14,11.625,50.875,15.318918,14.901611,2032.069,0.51066667
1982-08-15,11.625,50.875,14.277009,10.416687,2160.1125,0.51
1982-08-16,11.625,50.875,17.863966,15.339539,2124.0806,0.513125
1982-08-17,11.625,50.875,11.601668,14.845886,1881.1635,0.51625
1982-08-18,11.625,50.875,18.590935,15.033417,2237.737,0.51937497
1982-08-19,11.625,50.875,12.066863,13.375946,1891.5455,0.5225
1982-08-20,11.625,50.875,9.12901,10.19165,1472.3068,0.525625
1982-08-21,11.625,50.875,12.6418295,9.468689,1421.9023,0.52875
1982-08-22,11.625,50.875,12.867549,10.91568,1664.9569,0.531875
1982-08-23,11.625,50.875,15.124786,10.938049,1923.6897,0.53499997
1982-08-24,11.625,50.875,13.726199,13.160553,1697.6044,0.538125
1982-08-25,11.625,50.875,6.8757715,13.516327,1541.9286,0.54125
1982-08-26,11.625,50.875,17.69837,11.972961,1962.9331,0.544375
1982-08-27,11.625,50.875,13.465324,13.999603,1659.6777,0.5475
1982-08-28,11.625,50.875,14.870452,11.5355835,1652.6392,0.550625
1982-08-29,11.625,50.875,16.38817,9.782135,1689.3976,0.55375
1982-08-30,11.625,50.875,14.492023,10.789368,2009.3761,0.556875
1982-08-31,11.625,50.875,10.206376,13.12973,1651.2296,0.56
1982-09-01,11.625,50.875,8.899222,11.484924,1488.7074,0.5553333
1982-09-02,11.625,50.875,3.9178371,11.08432,1255.2301,0.5506667
1982-09-03,11.625,50.875,19.025503,7.4706726,1470.6973,0.546
1982-09-04,11.625,50.875,17.167553,9.37619,2079.8545,0.5413333
1982-09-05,11.625,50.875,17.240763,11.380951,2327.0718,0.53666663
1982-09-06,11.625,50.875,12.988488,17.517853,2268.714,0.532
1982-09-07,11.625,50.875,9.459344,13.940155,1667.499,0.5273333
1982-09-08,11.625,50.875,11.940879,13.259735,1806.9452,0.52266663
1982-09-09,11.625,50.875,10.143205,11.150055,1582.3877,0.518
1982-09-10,11.625,50.875,17.238792,10.41272,1890.0262,0.5133333
1982-09-11,11.625,50.875,14.158932,11.620911,2206.917,0.50866663
1982-09-12,11.625,50.875,8.184242,14.263611,1638.7493,0.504
1982-09-13,11.625,50.875,14.987469,12.228851,1743.1594,0.49933332
1982-09-14,11.625,50.875,12.73624,11.408234,1669.557,0.49466664
1982-09-15,11.625,50.875,16.093851,12.046204,2189.5994,0.48999998
1982-09-16,11.625,50.875,16.098267,11.498291,2292.8716,0.48866665
1982-09-17,11.625,50.875,15.417932,14.060272,2321.5168,0.48733333
1982-09-18,11.625,50.875,15.735566,12.096069,2257.188,0.48599997
1982-09-19,11.625,50.875,13.522223,14.196472,2257.7605,0.48466665
1982-09-20,11.625,50.875,14.255768,12.885193,2335.058,0.48333332
1982-09-21,11.625,50.875,13.317704,17.421234,2292.3345,0.482
1982-09-22,11.625,50.875,6.932127,8.039398,1121.7859,0.48066667
1982-09-23,11.625,50.875,8.236178,6.404999,1142.7826,0.4793333
1982-09-24,11.625,50.875,9.253597,8.479095,1381.779,0.478
1982-09-25,11.625,50.875,13.288808,8.423279,1734.8053,0.47666666
1982-09-26,11.625,50.875,13.692813,13.377228,2093.7148,0.47533333
