,longitude,latitude,ssrd,t2mmin,vpd,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR
1992-05-07,11.625,50.875,7.583347,8.770081,1112.6036,0.47599998,1.2004687949367594,1.2559832547988694,2.3745493809067937,1.6317368423770007,1.260996686319986
1992-05-08,11.625,50.875,17.045961,6.6018677,1315.6885,0.48399997,1.993110821779001,2.417650196238477,1.753885411722168,3.2167702094561017,2.058998910453446
1992-05-09,11.625,50.875,11.41341,5.0336914,927.51697,0.49199998,1.6296879513333384,2.2345920078614263,2.141806810585099,1.9368765763410247,1.6561870097366045
1992-05-10,11.625,50.875,14.428558,8.060303,1131.0647,0.49999997,2.258052802633612,2.4740361593443763,2.3474828211872723,3.1141260552111607,2.258052938116789
1992-05-11,11.625,50.875,10.88191,6.93042,774.5597,0.50799996,2.0502321222766957,2.4283218314304102,2.8261106583449447,2.207398925793169,2.0179451611341617
1992-05-12,11.625,50.875,19.293827,5.0507507,1186.1444,0.516,2.385029178636635,3.265821140129585,1.85424269013864,3.4386233832708126,2.3110747855006157
1992-05-13,11.625,50.875,24.988297,8.922699,1620.7283,0.524,2.6611121900945918,2.757629212533256,1.5974150960115,5.97599863034941,2.539229189021557
1992-05-14,11.625,50.875,25.428373,9.205353,1909.025,0.53199995,1.763148014186998,1.7952835904561635,1.040067337882961,6.283492566596571,1.6570941540379824
1992-05-15,11.625,50.875,25.692223,11.002014,2140.5396,0.53999996,0.9730872705706196,0.9730872705706196,0.5681216864169089,6.561613422593524,0.9010067987510774
1992-05-16,11.625,50.875,23.228886,11.141205,1895.1576,0.54375,1.7234103622190822,1.7234103622190822,1.1128882992187499,5.973692763324375,1.584745160661225
1992-05-17,11.625,50.875,20.598827,6.2846985,1171.914,0.54749995,3.0137345318641713,3.7433045980178505,2.1945918560295965,4.294292578888817,2.7522692302201777
1992-05-18,11.625,50.875,26.040052,6.7495117,1385.4788,0.55125,3.279520587913151,3.9355821287809314,1.8891209901845536,5.657272016410472,2.974621848447302
1992-05-19,11.625,50.875,22.120516,6.218933,1643.025,0.55499995,2.0122256193704473,2.5118282603550703,1.3644972970140798,4.651469300440238,1.812816036623469
1992-05-20,11.625,50.875,25.186298,8.762878,1916.3231,0.55875,1.7574173917243159,1.8396497348731453,1.0466508764354625,6.358239478018509,1.5726330127286945
1992-05-21,11.625,50.875,21.146904,9.956146,2039.5809,0.56249994,1.158915374480297,1.158915374480297,0.8220461310650701,5.625802788739306,1.0301471094204
1992-05-22,11.625,50.875,26.76909,9.851227,2153.617,0.56624997,1.009391595778881,1.009391595778881,0.565610334033888,7.168974401838642,0.8912950545312002
1992-05-23,11.625,50.875,24.454155,12.751465,2240.4163,0.56999993,0.6012256922605409,0.6012256922605409,0.36878744671030805,6.592386976541019,0.5273910228906001
1992-05-24,11.625,50.875,24.52299,13.301514,2391.6187,0.57374996,0.03194129769701255,0.03194129769701255,0.019537563137903998,6.65443702021095,0.027835555489199998
1992-05-25,11.625,50.875,26.889982,11.360199,2292.668,0.5775,0.45021317954900014,0.45021317954900014,0.2511417706875,7.34442380993475,0.389794960648485
1992-05-26,11.625,50.875,26.425919,10.34198,1881.3036,0.58124995,2.153210342133661,2.153210342133661,1.222215020488215,7.264542314890893,1.85222410955361
1992-05-27,11.625,50.875,24.86027,9.006195,1818.118,0.585,2.2186310729250454,2.2870127542779564,1.3386606860615624,6.672574655413669,1.8962658742949106
1992-05-28,11.625,50.875,26.836178,10.197235,1834.9392,0.58874995,2.4128749900490094,2.4128749900490094,1.348669130557084,7.472514679619105,2.0491509086743953
1992-05-29,11.625,50.875,22.721624,7.6474915,1780.5697,0.5925,2.0008403416135057,2.253960055889946,1.3208829229901253,5.652091360490128,1.6884728621211016
1992-05-30,11.625,50.875,23.053188,9.551605,1959.769,0.59624994,1.6356305246850984,1.6356305246850984,1.064254448030202,6.500916234837434,1.3715980622866801
1992-05-31,11.625,50.875,23.074106,9.970947,2043.9745,0.59999996,1.3318100359393663,1.3318100359393663,0.8657822122811819,6.547738623104063,1.10984177060559
1992-06-01,11.625,50.875,20.1455,13.452728,2275.7266,0.59666663,0.40362994514767364,0.40362994514767364,0.3005360590313025,5.6849288048968125,0.3382374049875
1992-06-02,11.625,50.875,16.250845,14.481964,2255.218,0.5933333,0.37713375962459444,0.37713375962459444,0.3481053689435175,4.560263115170429,0.3178093658527126
1992-06-03,11.625,50.875,17.72792,14.6388855,1367.0128,0.59,2.9201005621466285,2.9201005621466285,2.4707641072500004,4.94680766076,2.474661493344601
1992-06-04,11.625,50.875,11.779901,13.769653,910.5057,0.58666664,2.781818905254251,2.781818905254251,3.542243994988902,3.268498302495889,2.370868492926623
1992-06-05,11.625,50.875,18.979767,9.534332,1565.7255,0.5833333,2.496134756560619,2.496134756560619,1.9727334560223677,5.236280168996474,2.139544199311627
1992-06-06,11.625,50.875,9.638488,11.793854,973.2088,0.58,2.1556069576254506,2.1556069576254506,3.3546863745,2.6439432817680006,1.8582818600219404
1992-06-07,11.625,50.875,11.113142,11.881317,834.72235,0.57666665,2.7108701773001744,2.7108701773001744,3.6590059462483797,3.0309371391996582,2.3504655395800804
1992-06-08,11.625,50.875,15.598061,11.066742,827.675,0.5733333,3.80024059269301,3.80024059269301,3.6545317325272126,4.229538778734569,3.3141635002650376
1992-06-09,11.625,50.875,15.960606,11.836975,1015.5941,0.57,3.403853396564338,3.403853396564338,3.1989888697499995,4.302684106389,2.9858363127757355
1992-06-10,11.625,50.875,21.252964,10.944977,1385.8038,0.56666666,3.3007743686145505,3.3007743686145505,2.3296334350925476,5.695900549809405,2.9124480065710503
1992-06-11,11.625,50.875,14.861947,8.211639,905.9633,0.56333333,3.116344646981718,3.3803499804552755,3.145292450896627,3.650397852854303,2.7659863894274803
1992-06-12,11.625,50.875,11.703331,9.381378,990.6013,0.56,2.4784841089694924,2.4964586109684657,3.1766393375136,3.077333137533514,2.212932240151332
1992-06-13,11.625,50.875,15.033141,12.954926,1456.963,0.5566667,2.1328896494398255,2.1328896494398255,2.1281876316863775,3.957857950342969,1.9157690314867277
1992-06-14,11.625,50.875,20.196625,10.97348,1812.3203,0.55333334,1.7748496202045556,1.7748496202045556,1.318177878881661,5.28543662955496,1.6037797579706254
1992-06-15,11.625,50.875,20.605032,14.245819,2277.0364,0.55,0.3767962202803261,0.3767962202803261,0.27429917625000005,5.359832436420001,0.34254201843666005
1992-06-16,11.625,50.875,19.915379,13.473175,1987.9214,0.55333334,1.2273871028686918,1.2273871028686918,0.9244517286379725,5.21183483171419,1.1090847181453876
1992-06-17,11.625,50.875,25.936857,13.206299,1876.7357,0.5566667,2.041733281795417,2.041733281795417,1.1807906882060248,6.828539403998051,1.8338920594634252
1992-06-18,11.625,50.875,15.922587,11.130188,1523.7451,0.56,2.111516496370487,2.111516496370487,1.9891709460000002,4.2171290121239995,1.8852825860450775
1992-06-19,11.625,50.875,9.49908,9.750671,892.5206,0.56333333,2.1800531897611695,2.1800531897611695,3.4425226281300434,2.5308256208047006,1.9349584639002004
1992-06-20,11.625,50.875,22.114182,13.394043,1935.1254,0.56666666,1.5741345152200659,1.5741345152200659,1.0677319074384481,5.926711277183983,1.38894223565232
1992-06-21,11.625,50.875,15.860402,14.545593,1645.8713,0.57,1.842386617423677,1.842386617423677,1.74244002525,4.275670961763001,1.6161286117751552
1992-06-22,11.625,50.875,19.889853,13.601959,1563.365,0.5733333,2.578533118533225,2.578533118533225,1.944609483941303,5.393292446210468,2.2487208736464677
1992-06-23,11.625,50.875,20.564497,11.772247,1651.235,0.57666665,2.399940327272758,2.399940327272758,1.7505463376561738,5.608647644946853,2.080873176273293
1992-06-24,11.625,50.875,14.16687,13.589539,1586.8816,0.58,1.8054951972944218,1.8054951972944218,1.911673359,3.88612827657,1.55646137697795
1992-06-25,11.625,50.875,14.375455,11.789368,1790.3116,0.5833333,1.3817572271557148,1.3817572271557148,1.4417879926121102,3.966008114683452,1.18436340523995
1992-06-26,11.625,50.875,27.211689,12.171417,1987.2103,0.58666664,1.7811072147331644,1.7811072147331644,0.9818063193724382,7.55026373350218,1.5179891724652728
1992-06-27,11.625,50.875,27.432415,10.431702,2121.6401,0.59,1.2178714883311732,1.2178714883311732,0.66593015325,7.654754797807501,1.0320944816365876
1992-06-28,11.625,50.875,24.89118,9.524506,2236.4258,0.5933333,0.6530870154383261,0.6530870154383261,0.3935653203895875,6.984887865650547,0.55035425741175
1992-06-29,11.625,50.875,27.195663,11.578278,2440.2896,0.59666663,0.0,0.0,0.0,7.67443885517691,0.0
1992-06-30,11.625,50.875,27.72471,13.911346,2734.0183,0.59999996,0.0,0.0,0.0,7.867440432203938,0.0
1992-07-01,11.625,50.875,22.63462,14.437286,2368.2615,0.59599996,0.11548171982298891,0.11548171982298891,0.076529926163763,6.38020551508226,0.09688064393745002
1992-07-02,11.625,50.875,22.662376,14.87085,2120.2537,0.59199995,1.0145905300708806,1.0145905300708806,0.6715473236814714,6.345156535777864,0.8569177497995399
1992-07-03,11.625,50.875,18.311077,14.548798,1759.3735,0.58799994,1.864258488934528,1.864258488934528,1.5271563400677044,5.092211114270769,1.5852539788818074
1992-07-04,11.625,50.875,13.102966,15.389404,1601.6571,0.584,1.65102242444169,1.65102242444169,1.8900557604,3.6190758975048003,1.4135465962685703
1992-07-05,11.625,50.875,4.117505,14.246094,630.4804,0.58,1.129476914055,1.129476914055,4.114665,1.129476914055,0.9736869948750002
1992-07-06,11.625,50.875,4.7098994,11.6319275,302.3107,0.576,1.2830670266284803,1.2830670266284803,4.086288000000001,1.2830670266284803,1.113773460615
1992-07-07,11.625,50.875,8.029876,11.854034,985.0584,0.57199997,1.7563056517191031,1.7563056517191031,3.2808208714289666,2.1723013626705048,1.5352322935603502
1992-07-08,11.625,50.875,18.147768,10.218414,1808.1528,0.56799996,1.648771063523612,1.648771063523612,1.362788302828986,4.8751362020213245,1.45138308066396
1992-07-09,11.625,50.875,23.381899,11.104431,2165.9236,0.56399995,0.8345073938245571,0.8345073938245571,0.5353547591394676,6.236976037552743,0.7398115849341451
1992-07-10,11.625,50.875,18.07772,11.939392,1632.8982,0.55999994,2.0985452415237953,2.0985452415237953,1.7412692874354134,4.7879197844485395,1.8737013092571002
1992-07-11,11.625,50.875,7.2537694,12.958588,737.69116,0.55599993,1.8118890461882124,1.8118890461882124,3.746787937982035,1.9074524120309637,1.6293968294098637
1992-07-12,11.625,50.875,16.224401,12.136414,1317.262,0.552,2.6206142322845714,2.6206142322845714,2.4228452862000007,4.2356784100284,2.3737447756200827
1992-07-13,11.625,50.875,18.384132,11.801666,1681.7023,0.548,1.9559244669544482,1.9559244669544482,1.5958799145000002,4.764736825711202,1.7846026158343502
